Player,Age,Pos,GP,G,A,PTS,+/-,PIM,TOI,ATOI
Alex Ovechkin\ovechal01,29,LW,81,53,28,81,10,58,1646,20:20
Nicklas Backstrom\backsni02,27,C,82,18,60,78,5,40,1683,20:32
Jay Beagle\beaglja01,29,RW,62,10,10,20,6,20,794,12:49
John Carlson\carlsjo01,25,D,82,12,43,55,11,28,1892,23:04
Braden Holtby\holtbbr01,25,G,73,0,2,2,0,2,4247,58:11
Dmitry Orlov\orlovdm01,23,D,0,0,0,0,0,0,0,0:00
Philipp Grubauer\grubaph01,23,G,1,0,0,0,0,0,65,65:00
Evgeny Kuznetsov\kuzneev01,22,C,80,11,26,37,10,24,1066,13:20
Tom Wilson\wilsoto01,20,RW,67,4,13,17,-1,172,733,10:56
Matt Niskanen\niskama01,28,D,82,4,27,31,7,47,1833,22:21
Brooks Orpik\orpikbr01,34,D,78,0,19,19,5,66,1700,21:48
Andre Burakovsky\burakan01,19,LW,53,9,13,22,12,10,685,12:55
